"CPP_API, URL, REGOP"
tensorflow::ops::BatchToSpace,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/batch-to-space.html,"./array_ops.cc:REGISTER_OP(""BatchToSpace"")"
tensorflow::ops::BatchToSpaceND,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/batch-to-space-n-d.html,"./array_ops.cc:REGISTER_OP(""BatchToSpaceND"")"
tensorflow::ops::Bitcast,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/bitcast.html,
tensorflow::ops::BroadcastDynamicShape,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/broadcast-dynamic-shape.html,
tensorflow::ops::BroadcastTo,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/broadcast-to.html,"./array_ops.cc:REGISTER_OP(""BroadcastTo"")"
tensorflow::ops::CheckNumerics,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/check-numerics.html,"./array_ops.cc:REGISTER_OP(""CheckNumerics"")"
tensorflow::ops::Concat,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/concat.html,"./array_ops.cc:REGISTER_OP(""Concat"")"
tensorflow::ops::ConjugateTranspose,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/conjugate-transpose.html,"./array_ops.cc:REGISTER_OP(""ConjugateTranspose"")"
tensorflow::ops::DebugGradientIdentity,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/debug-gradient-identity.html,"./array_ops.cc:REGISTER_OP(""DebugGradientIdentity"")"
tensorflow::ops::DebugGradientRefIdentity,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/debug-gradient-ref-identity.html,"./array_ops.cc:REGISTER_OP(""DebugGradientRefIdentity"")"
tensorflow::ops::DeepCopy,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/deep-copy.html,"./array_ops.cc:REGISTER_OP(""DeepCopy"")"
tensorflow::ops::DepthToSpace,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/depth-to-space.html,"./array_ops.cc:REGISTER_OP(""DepthToSpace"")"
tensorflow::ops::Dequantize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/dequantize.html,"./array_ops.cc:REGISTER_OP(""Dequantize"")"
tensorflow::ops::Diag,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/diag.html,"./array_ops.cc:REGISTER_OP(""Diag"")"
tensorflow::ops::DiagPart,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/diag-part.html,"./array_ops.cc:REGISTER_OP(""DiagPart"")"
tensorflow::ops::EditDistance,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/edit-distance.html,"./array_ops.cc:REGISTER_OP(""EditDistance"")"
tensorflow::ops::Empty,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/empty.html,"./array_ops.cc:REGISTER_OP(""Empty"")"
tensorflow::ops::EnsureShape,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ensure-shape.html,"./array_ops.cc:REGISTER_OP(""EnsureShape"")"
tensorflow::ops::ExpandDims,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/expand-dims.html,"./array_ops.cc:REGISTER_OP(""ExpandDims"")"
tensorflow::ops::ExtractImagePatches,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/extract-image-patches.html,"./array_ops.cc:REGISTER_OP(""ExtractImagePatches"")"
tensorflow::ops::ExtractVolumePatches,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/extract-volume-patches.html,"./array_ops.cc:REGISTER_OP(""ExtractVolumePatches"")"
tensorflow::ops::FakeQuantWithMinMaxArgs,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-args.html,"./array_ops.cc:REGISTER_OP(""FakeQuantWithMinMaxArgs"")"
tensorflow::ops::FakeQuantWithMinMaxArgsGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-args-gradient.html,"./array_ops.cc:REGISTER_OP(""FakeQuantWithMinMaxArgsGradient"")"
tensorflow::ops::FakeQuantWithMinMaxVars,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-vars.html,"./array_ops.cc:REGISTER_OP(""FakeQuantWithMinMaxVars"")"
tensorflow::ops::FakeQuantWithMinMaxVarsGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-vars-gradient.html,"./array_ops.cc:REGISTER_OP(""FakeQuantWithMinMaxVarsGradient"")"
tensorflow::ops::FakeQuantWithMinMaxVarsPerChannel,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-vars-per-channel.html,"./array_ops.cc:REGISTER_OP(""FakeQuantWithMinMaxVarsPerChannel"")"
tensorflow::ops::FakeQuantWithMinMaxVarsPerChannelGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fake-quant-with-min-max-vars-per-channel-gradient.html,"./array_ops.cc:REGISTER_OP(""FakeQuantWithMinMaxVarsPerChannelGradient"")"
tensorflow::ops::Fill,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fill.html,"./array_ops.cc:REGISTER_OP(""Fill"")"
tensorflow::ops::Fingerprint,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fingerprint.html,"./array_ops.cc:REGISTER_OP(""Fingerprint"")"
tensorflow::ops::Gather,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/gather.html,"./array_ops.cc:REGISTER_OP(""Gather"")"
tensorflow::ops::GatherNd,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/gather-nd.html,"./array_ops.cc:REGISTER_OP(""GatherNd"")"
tensorflow::ops::GatherV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/gather-v2.html,"./array_ops.cc:REGISTER_OP(""GatherV2"")"
tensorflow::ops::GuaranteeConst,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/guarantee-const.html,"./array_ops.cc:REGISTER_OP(""GuaranteeConst"")"
tensorflow::ops::Identity,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/identity.html,"./array_ops.cc:REGISTER_OP(""Identity"")"
tensorflow::ops::IdentityN,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/identity-n.html,"./array_ops.cc:REGISTER_OP(""IdentityN"")"
tensorflow::ops::ImmutableConst,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/immutable-const.html,"./array_ops.cc:REGISTER_OP(""ImmutableConst"")"
tensorflow::ops::InplaceAdd,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/inplace-add.html,"./array_ops.cc:REGISTER_OP(""InplaceAdd"")"
tensorflow::ops::InplaceSub,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/inplace-sub.html,"./array_ops.cc:REGISTER_OP(""InplaceSub"")"
tensorflow::ops::InplaceUpdate,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/inplace-update.html,"./array_ops.cc:REGISTER_OP(""InplaceUpdate"")"
tensorflow::ops::InvertPermutation,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/invert-permutation.html,"./array_ops.cc:REGISTER_OP(""InvertPermutation"")"
tensorflow::ops::MatrixBandPart,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-band-part.html,"./array_ops.cc:REGISTER_OP(""MatrixBandPart"")"
tensorflow::ops::MatrixDiag,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-diag.html,"./array_ops.cc:REGISTER_OP(""MatrixDiag"")"
tensorflow::ops::MatrixDiagPart,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-diag-part.html,"./array_ops.cc:REGISTER_OP(""MatrixDiagPart"")"
tensorflow::ops::MatrixDiagPartV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-diag-part-v2.html,"./array_ops.cc:REGISTER_OP(""MatrixDiagPartV2"")"
tensorflow::ops::MatrixDiagV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-diag-v2.html,"./array_ops.cc:REGISTER_OP(""MatrixDiagV2"")"
tensorflow::ops::MatrixSetDiag,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-set-diag.html,"./array_ops.cc:REGISTER_OP(""MatrixSetDiag"")"
tensorflow::ops::MatrixSetDiagV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/matrix-set-diag-v2.html,"./array_ops.cc:REGISTER_OP(""MatrixSetDiagV2"")"
tensorflow::ops::MirrorPad,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/mirror-pad.html,"./array_ops.cc:REGISTER_OP(""MirrorPad"")"
tensorflow::ops::OneHot,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/one-hot.html,"./array_ops.cc:REGISTER_OP(""OneHot"")"
tensorflow::ops::OnesLike,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ones-like.html,"./array_ops.cc:REGISTER_OP(""OnesLike"")"
tensorflow::ops::Pad,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/pad.html,"./array_ops.cc:REGISTER_OP(""Pad"")"
tensorflow::ops::PadV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/pad-v2.html,"./array_ops.cc:REGISTER_OP(""PadV2"")"
tensorflow::ops::ParallelConcat,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/parallel-concat.html,"./array_ops.cc:REGISTER_OP(""ParallelConcat"")"
tensorflow::ops::Placeholder,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/placeholder.html,"./array_ops.cc:REGISTER_OP(""Placeholder"")"
tensorflow::ops::PlaceholderWithDefault,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/placeholder-with-default.html,"./array_ops.cc:REGISTER_OP(""PlaceholderWithDefault"")"
tensorflow::ops::PreventGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/prevent-gradient.html,"./array_ops.cc:REGISTER_OP(""PreventGradient"")"
tensorflow::ops::QuantizeAndDequantizeV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/quantize-and-dequantize-v2.html,"./array_ops.cc:REGISTER_OP(""QuantizeAndDequantizeV2"")"
tensorflow::ops::QuantizeAndDequantizeV3,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/quantize-and-dequantize-v3.html,"./array_ops.cc:REGISTER_OP(""QuantizeAndDequantizeV3"")"
tensorflow::ops::QuantizeV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/quantize-v2.html,"./array_ops.cc:REGISTER_OP(""QuantizeV2"")"
tensorflow::ops::QuantizedConcat,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/quantized-concat.html,"./array_ops.cc:REGISTER_OP(""QuantizedConcat"")"
tensorflow::ops::QuantizedInstanceNorm,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/quantized-instance-norm.html,"./array_ops.cc:REGISTER_OP(""QuantizedInstanceNorm"")"
tensorflow::ops::SetDiff1D,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/set-diff1-d.html,
tensorflow::ops::Stack,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/stack.html,"./data_flow_ops.cc:REGISTER_OP(""Stack"")"
tensorflow::ops::Where,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/where.html,"./array_ops.cc:REGISTER_OP(""Where"")"
tensorflow::ops::ZerosLike,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/zeros-like.html,"./array_ops.cc:REGISTER_OP(""ZerosLike"")"
tensorflow::ops::AllCandidateSampler,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/all-candidate-sampler.html,"./candidate_sampling_ops.cc:REGISTER_OP(""AllCandidateSampler"")"
tensorflow::ops::ComputeAccidentalHits,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/compute-accidental-hits.html,"./candidate_sampling_ops.cc:REGISTER_OP(""ComputeAccidentalHits"")"
tensorflow::ops::FixedUnigramCandidateSampler,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/fixed-unigram-candidate-sampler.html,"./candidate_sampling_ops.cc:REGISTER_OP(""FixedUnigramCandidateSampler"")"
tensorflow::ops::LearnedUnigramCandidateSampler,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/learned-unigram-candidate-sampler.html,"./candidate_sampling_ops.cc:REGISTER_OP(""LearnedUnigramCandidateSampler"")"
tensorflow::ops::LogUniformCandidateSampler,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/log-uniform-candidate-sampler.html,"./candidate_sampling_ops.cc:REGISTER_OP(""LogUniformCandidateSampler"")"
tensorflow::ops::UniformCandidateSampler,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/uniform-candidate-sampler.html,"./candidate_sampling_ops.cc:REGISTER_OP(""UniformCandidateSampler"")"
tensorflow::ops::Abort,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/abort.html,"./control_flow_ops.cc:REGISTER_OP(""Abort"")"
tensorflow::ops::ControlTrigger,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/control-trigger.html,"./control_flow_ops.cc:REGISTER_OP(""ControlTrigger"").SetShapeFn(shape_inference::NoOutputs);"
tensorflow::ops::LoopCond,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/loop-cond.html,"./control_flow_ops.cc:REGISTER_OP(""LoopCond"")"
tensorflow::ops::Merge,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/merge.html,"./control_flow_ops.cc:REGISTER_OP(""Merge"")"
tensorflow::ops::NextIteration,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/next-iteration.html,"./control_flow_ops.cc:REGISTER_OP(""NextIteration"")"
tensorflow::ops::RefNextIteration,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ref-next-iteration.html,"./control_flow_ops.cc:REGISTER_OP(""RefNextIteration"")"
tensorflow::ops::RefSelect,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ref-select.html,"./control_flow_ops.cc:REGISTER_OP(""RefSelect"")"
tensorflow::ops::RefSwitch,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ref-switch.html,"./control_flow_ops.cc:REGISTER_OP(""RefSwitch"")"
tensorflow::ops::Switch,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/switch.html,"./control_flow_ops.cc:REGISTER_OP(""Switch"")"
tensorflow::ClientSession,https://www.tensorflow.org/api_docs/cc/class/tensorflow/client-session.html,
tensorflow::Input,https://www.tensorflow.org/api_docs/cc/class/tensorflow/input.html,
tensorflow::InputList,https://www.tensorflow.org/api_docs/cc/class/tensorflow/input-list.html,
tensorflow::Operation,https://www.tensorflow.org/api_docs/cc/class/tensorflow/operation.html,
tensorflow::Output,https://www.tensorflow.org/api_docs/cc/class/tensorflow/output.html,
tensorflow::Scope,https://www.tensorflow.org/api_docs/cc/class/tensorflow/scope.html,
tensorflow::Status,https://www.tensorflow.org/api_docs/cc/class/tensorflow/status.html,
tensorflow::Tensor,https://www.tensorflow.org/api_docs/cc/class/tensorflow/tensor.html,
tensorflow::ops::AccumulatorApplyGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-apply-gradient.html,"./data_flow_ops.cc:REGISTER_OP(""AccumulatorApplyGradient"")"
tensorflow::ops::AccumulatorNumAccumulated,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-num-accumulated.html,"./data_flow_ops.cc:REGISTER_OP(""AccumulatorNumAccumulated"")"
tensorflow::ops::AccumulatorSetGlobalStep,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-set-global-step.html,"./data_flow_ops.cc:REGISTER_OP(""AccumulatorSetGlobalStep"")"
tensorflow::ops::AccumulatorTakeGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-take-gradient.html,"./data_flow_ops.cc:REGISTER_OP(""AccumulatorTakeGradient"")"
tensorflow::ops::Barrier,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier.html,"./data_flow_ops.cc:REGISTER_OP(""Barrier"")"
tensorflow::ops::BarrierClose,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-close.html,"./data_flow_ops.cc:REGISTER_OP(""BarrierClose"")"
